Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,554176,-,-,-,21.81,-102.3,-6,1876,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2018,1,1,0,30,0,0,0,5.9,9.200000000000001,820,46,1.6,0.18
2018,1,1,1,30,0,0,0,5.6000000000000005,8.6,820,57,1.8,0.18
2018,1,1,2,30,0,0,0,5.2,8,820,66,2,0.18
2018,1,1,3,30,0,0,0,4.7,7.4,820,71,2,0.18
2018,1,1,4,30,0,0,0,4.4,6.9,820,73,1.9000000000000001,0.18
2018,1,1,5,30,0,0,0,4.6000000000000005,6.5,820,72,1.8,0.18
2018,1,1,6,30,0,0,0,5.2,6.5,821,70,1.8,0.18
2018,1,1,7,30,47,8,8,5.800000000000001,8.1,821,72,2.6,0.18
2018,1,1,8,30,587,50,172,6.800000000000001,11,822,81,3.5,0.18
2018,1,1,9,30,844,63,398,7.1000000000000005,14.200000000000001,822,93,3.8000000000000003,0.18
2018,1,1,10,30,935,70,584,5.800000000000001,17.400000000000002,821,104,3.6,0.18
2018,1,1,11,30,973,78,715,4.1000000000000005,19.900000000000002,821,113,2.8000000000000003,0.18
2018,1,1,12,30,981,84,777,3.8000000000000003,21.3,820,130,2,0.18
2018,1,1,13,30,974,87,768,4.1000000000000005,22,819,154,1.7000000000000002,0.18
2018,1,1,14,30,939,88,684,4.4,22.1,818,183,1.5,0.18
2018,1,1,15,30,868,87,536,4.6000000000000005,21.6,818,208,1.3,0.18
2018,1,1,16,30,747,75,340,4.6000000000000005,20.3,818,220,1,0.18
2018,1,1,17,30,476,50,126,7.6000000000000005,19.400000000000002,818,222,0.8,0.18
2018,1,1,18,30,0,0,0,6.6000000000000005,16.2,819,183,0.9,0.18
2018,1,1,19,30,0,0,0,6,14.5,819,144,1.1,0.18
2018,1,1,20,30,0,0,0,5.9,12.600000000000001,819,120,1.4000000000000001,0.18
2018,1,1,21,30,0,0,0,6,10.8,819,109,1.5,0.18
2018,1,1,22,30,0,0,0,6.1000000000000005,9.5,819,104,1.6,0.18
2018,1,1,23,30,0,0,0,6.2,8.6,819,101,1.7000000000000002,0.18
2018,1,2,0,30,0,0,0,6.2,7.800000000000001,819,101,1.7000000000000002,0.18
2018,1,2,1,30,0,0,0,6,7.2,819,101,1.6,0.18
2018,1,2,2,30,0,0,0,5.800000000000001,7,818,95,1.6,0.18
2018,1,2,3,30,0,0,0,5.6000000000000005,6.800000000000001,818,87,1.6,0.18
2018,1,2,4,30,0,0,0,5.4,6.6000000000000005,819,77,1.6,0.18
2018,1,2,5,30,0,0,0,5.2,6.4,819,66,1.5,0.18
2018,1,2,6,30,0,0,0,5.1000000000000005,6.300000000000001,820,66,1.5,0.18
2018,1,2,7,30,40,9,9,5,7.4,820,84,1.6,0.18
2018,1,2,8,30,417,69,155,5.6000000000000005,10,820,107,1.6,0.18
2018,1,2,9,30,754,86,385,6.5,14.200000000000001,820,157,1.3,0.18
2018,1,2,10,30,860,98,571,6.4,18.400000000000002,820,216,1.5,0.18
2018,1,2,11,30,911,107,704,5.6000000000000005,21,819,236,2,0.18
2018,1,2,12,30,926,112,767,5.5,22.200000000000003,818,243,2.3000000000000003,0.18
2018,1,2,13,30,921,112,757,5.4,22.700000000000003,817,250,2.4000000000000004,0.18
2018,1,2,14,30,891,109,676,5.4,22.700000000000003,816,254,2.4000000000000004,0.18
2018,1,2,15,30,770,116,516,5.4,22.200000000000003,816,253,2.3000000000000003,0.18
2018,1,2,16,30,696,87,336,5.6000000000000005,20.700000000000003,816,249,1.7000000000000002,0.18
2018,1,2,17,30,388,55,118,8.6,19.5,816,247,1.2000000000000002,0.18
2018,1,2,18,30,0,0,0,8.5,16.1,816,257,1,0.18
2018,1,2,19,30,0,0,0,7.9,15.200000000000001,817,268,1.1,0.18
2018,1,2,20,30,0,0,0,7.7,14.4,817,281,1,0.18
2018,1,2,21,30,0,0,0,7.5,13.600000000000001,818,295,1,0.18
2018,1,2,22,30,0,0,0,7.2,12.9,818,310,1,0.18
2018,1,2,23,30,0,0,0,6.9,12.200000000000001,818,325,1.1,0.18
2018,1,3,0,30,0,0,0,6.6000000000000005,11.4,818,339,1.2000000000000002,0.18
2018,1,3,1,30,0,0,0,6.5,10.600000000000001,818,351,1.4000000000000001,0.18
2018,1,3,2,30,0,0,0,6.300000000000001,9.8,818,181,1.7000000000000002,0.18
2018,1,3,3,30,0,0,0,6.1000000000000005,8.9,818,7,1.9000000000000001,0.18
2018,1,3,4,30,0,0,0,5.9,8.1,818,12,2.2,0.18
2018,1,3,5,30,0,0,0,5.6000000000000005,7.4,818,17,2.5,0.18
2018,1,3,6,30,0,0,0,5.300000000000001,7.1000000000000005,819,23,2.7,0.18
2018,1,3,7,30,49,8,8,5,8,819,29,3,0.18
2018,1,3,8,30,564,58,174,5.2,10.8,820,35,3.5,0.18
2018,1,3,9,30,783,80,390,5.2,14.5,820,41,3.6,0.18
2018,1,3,10,30,881,91,575,4.800000000000001,18,820,44,3.2,0.18
2018,1,3,11,30,929,99,708,4.800000000000001,20.400000000000002,819,40,2.6,0.18
2018,1,3,12,30,952,100,774,5.300000000000001,21.6,818,33,2.2,0.18
2018,1,3,13,30,953,98,767,5.4,22.200000000000003,817,29,2.1,0.18
2018,1,3,14,30,937,91,689,5.2,22.3,816,27,1.9000000000000001,0.18
2018,1,3,15,30,891,81,546,4.9,21.900000000000002,816,27,1.9000000000000001,0.18
2018,1,3,16,30,787,68,351,4.6000000000000005,20.400000000000002,816,31,1.6,0.18
2018,1,3,17,30,538,47,135,7,19.3,816,34,1.3,0.18
2018,1,3,18,30,0,0,0,7.1000000000000005,14.700000000000001,817,47,1.4000000000000001,0.18
2018,1,3,19,30,0,0,0,6.2,13.5,818,52,1.9000000000000001,0.18
2018,1,3,20,30,0,0,0,5.5,12.3,818,56,2.3000000000000003,0.18
2018,1,3,21,30,0,0,0,5.2,11,819,58,2.4000000000000004,0.18
2018,1,3,22,30,0,0,0,5,9.9,819,58,2.4000000000000004,0.18
2018,1,3,23,30,0,0,0,4.9,8.9,819,58,2.4000000000000004,0.18
2018,1,4,0,30,0,0,0,4.7,8.1,819,60,2.3000000000000003,0.18
2018,1,4,1,30,0,0,0,4.6000000000000005,7.300000000000001,818,63,2.1,0.18
2018,1,4,2,30,0,0,0,4.4,6.6000000000000005,818,66,1.8,0.18
2018,1,4,3,30,0,0,0,4.2,6,818,67,1.5,0.18
2018,1,4,4,30,0,0,0,3.9000000000000004,5.6000000000000005,818,68,1.5,0.18
2018,1,4,5,30,0,0,0,3.7,5.4,818,66,1.5,0.18
2018,1,4,6,30,0,0,0,3.5,5.2,819,64,1.4000000000000001,0.18
2018,1,4,7,30,56,9,9,3.4000000000000004,6.300000000000001,819,64,1.6,0.18
2018,1,4,8,30,466,60,156,3.6,9.3,820,70,1.7000000000000002,0.18
2018,1,4,9,30,817,72,396,4.2,13.700000000000001,820,108,1.1,0.18
2018,1,4,10,30,916,82,586,4.6000000000000005,18.1,820,189,1.1,0.18
2018,1,4,11,30,962,88,720,4.9,20.6,819,238,1.7000000000000002,0.18
2018,1,4,12,30,978,91,784,5,21.8,818,242,2.1,0.18
2018,1,4,13,30,976,90,777,4.800000000000001,22.400000000000002,817,246,2.5,0.18
2018,1,4,14,30,950,88,696,4.6000000000000005,22.5,817,248,2.7,0.18
2018,1,4,15,30,891,83,550,4.3,22.1,816,250,2.8000000000000003,0.18
2018,1,4,16,30,781,71,354,4.2,20.5,816,249,2.2,0.18
2018,1,4,17,30,530,48,136,6.6000000000000005,19.200000000000003,816,249,1.6,0.18
2018,1,4,18,30,0,0,0,6.5,15.100000000000001,817,249,1.2000000000000002,0.18
2018,1,4,19,30,0,0,0,5.800000000000001,14.4,817,252,1.2000000000000002,0.18
2018,1,4,20,30,0,0,0,5.300000000000001,13.600000000000001,818,257,1.2000000000000002,0.18
2018,1,4,21,30,0,0,0,5.1000000000000005,12.700000000000001,818,264,1.3,0.18
2018,1,4,22,30,0,0,0,4.9,11.700000000000001,818,268,1.2000000000000002,0.18
2018,1,4,23,30,0,0,0,4.7,10.9,818,268,1.2000000000000002,0.18
2018,1,5,0,30,0,0,0,4.5,10.3,818,269,1.2000000000000002,0.18
2018,1,5,1,30,0,0,0,4.4,9.8,818,274,1.2000000000000002,0.18
2018,1,5,2,30,0,0,0,4.4,9.4,818,285,1.1,0.18
2018,1,5,3,30,0,0,0,4.3,9.200000000000001,818,298,1.1,0.18
2018,1,5,4,30,0,0,0,4.2,9.1,818,311,0.9,0.18
2018,1,5,5,30,0,0,0,4,9,818,323,0.8,0.18
2018,1,5,6,30,0,0,0,3.9000000000000004,8.9,819,338,0.7000000000000001,0.18
2018,1,5,7,30,95,11,11,3.7,10.100000000000001,819,351,0.8,0.18
2018,1,5,8,30,659,47,182,4.4,13.200000000000001,820,326,1,0.18
2018,1,5,9,30,861,62,403,4.4,17.1,820,279,2,0.18
2018,1,5,10,30,950,70,593,4.4,19.900000000000002,820,261,3,0.18
2018,1,5,11,30,994,75,728,4.1000000000000005,21.400000000000002,820,260,3.1,0.18
2018,1,5,12,30,1012,77,796,3.6,22.5,819,263,3.1,0.18
2018,1,5,13,30,1011,76,789,3.1,23.200000000000003,818,271,2.9000000000000004,0.18
2018,1,5,14,30,991,73,710,2.7,23.3,818,280,2.5,0.18
2018,1,5,15,30,946,67,565,2.3000000000000003,22.8,818,289,2.1,0.18
2018,1,5,16,30,854,57,368,2,21.200000000000003,818,296,1.4000000000000001,0.18
2018,1,5,17,30,628,40,146,6.4,20,818,300,0.9,0.18
2018,1,5,18,30,0,0,0,4.800000000000001,15.600000000000001,818,330,1.2000000000000002,0.18
2018,1,5,19,30,0,0,0,4.3,13.8,819,177,1.2000000000000002,0.18
2018,1,5,20,30,0,0,0,3.8000000000000003,12.3,819,17,1.3,0.18
2018,1,5,21,30,0,0,0,3.3000000000000003,10.9,819,28,1.5,0.18
2018,1,5,22,30,0,0,0,3,9.700000000000001,820,34,1.7000000000000002,0.18
2018,1,5,23,30,0,0,0,2.9000000000000004,8.700000000000001,820,37,1.8,0.18
2018,1,6,0,30,0,0,0,3,7.7,820,38,1.7000000000000002,0.18
2018,1,6,1,30,0,0,0,3,6.9,820,34,1.5,0.18
2018,1,6,2,30,0,0,0,2.9000000000000004,6.300000000000001,820,27,1.4000000000000001,0.18
2018,1,6,3,30,0,0,0,2.8000000000000003,5.800000000000001,820,24,1.3,0.18
2018,1,6,4,30,0,0,0,2.6,5.300000000000001,820,25,1.3,0.18
2018,1,6,5,30,0,0,0,2.2,5,820,28,1.4000000000000001,0.18
2018,1,6,6,30,0,0,0,1.9000000000000001,4.9,820,30,1.5,0.18
2018,1,6,7,30,94,10,10,1.7000000000000002,6.9,821,32,2.3000000000000003,0.18
2018,1,6,8,30,729,41,190,1.8,10.9,821,34,2.9000000000000004,0.18
2018,1,6,9,30,916,54,416,1.8,15.3,821,36,3,0.18
2018,1,6,10,30,1002,60,612,0.30000000000000004,19,821,35,2.9000000000000004,0.18
2018,1,6,11,30,1040,65,749,-0.4,21.1,821,29,2.6,0.18
2018,1,6,12,30,1053,68,817,-1.1,22.400000000000002,820,18,2.4000000000000004,0.18
2018,1,6,13,30,1047,67,807,-1.7000000000000002,23.1,819,12,2.3000000000000003,0.18
2018,1,6,14,30,901,111,692,-2.2,23.1,818,15,2.2,0.18
2018,1,6,15,30,976,64,580,-2.7,22.5,818,19,2.1,0.18
2018,1,6,16,30,866,57,375,-2.7,20.400000000000002,818,24,1.6,0.18
2018,1,6,17,30,668,39,154,3.4000000000000004,18.8,818,27,1.1,0.18
