time,I_dir,I_glo,I_dif
2014-12-05 00:10:00,1.101,0.0,0.0
2014-12-05 00:20:00,0.374,0.0,0.0
2014-12-05 00:30:00,0.042,0.0,0.0
2014-12-05 00:40:00,0.0,0.0,0.0
2014-12-05 00:50:00,0.0,0.0,0.0
2014-12-05 01:00:00,0.0,0.0,0.0
2014-12-05 01:10:00,0.0,0.0,0.0
2014-12-05 01:20:00,0.192,0.0,0.0
2014-12-05 01:30:00,0.0,0.018000000000000002,0.0
2014-12-05 01:40:00,0.006,0.0,0.0
2014-12-05 01:50:00,0.91,0.002,0.0
2014-12-05 02:00:00,0.019,0.0,0.0
2014-12-05 02:10:00,0.0,0.0,0.0
2014-12-05 02:20:00,0.0,0.0,0.0
2014-12-05 02:30:00,0.0,0.0,0.0
2014-12-05 02:40:00,0.0,0.0,0.0
2014-12-05 02:50:00,0.018,0.0,0.0
2014-12-05 03:00:00,0.0,0.213,0.0
2014-12-05 03:10:00,0.141,0.077,0.0
2014-12-05 03:20:00,0.641,0.096,0.08800000000000001
2014-12-05 03:30:00,0.762,0.076,0.031
2014-12-05 03:40:00,0.369,0.004,0.009000000000000001
2014-12-05 03:50:00,0.038,0.002,0.0
2014-12-05 04:00:00,0.009,0.0,0.0
2014-12-05 04:10:00,0.037,0.03,0.0
2014-12-05 04:20:00,0.266,0.004,0.0
2014-12-05 04:30:00,0.001,0.0,0.0
2014-12-05 04:40:00,0.653,0.0,0.0
2014-12-05 04:50:00,0.992,0.004,0.0
2014-12-05 05:00:00,0.283,0.0,0.0
2014-12-05 05:10:00,0.066,0.0,0.0
2014-12-05 05:20:00,0.026,0.0,0.0
2014-12-05 05:30:00,0.404,0.0,0.0
2014-12-05 05:40:00,0.013,0.0,0.0
2014-12-05 05:50:00,0.0,0.0,0.0
2014-12-05 06:00:00,0.0,0.0,0.0
2014-12-05 06:10:00,0.062,0.043,0.0
2014-12-05 06:20:00,0.193,0.066,0.0
2014-12-05 06:30:00,0.138,0.005,0.0
