N	H
1	25.6755444
2	11.8165644
3	11.147301599999997
4	23.950518
5	21.7456224
6	21.181580399999998
7	19.9051878
8	27.0927522
9	27.2391792
10	23.900744399999997
11	26.7022368
12	22.376952600000003
13	17.9299638
14	12.7874628
15	25.687818
16	11.994743399999999
17	9.2549856
18	25.425664200000003
19	18.974064600000005
20	21.969516
21	32.279400599999995
22	31.242111
23	29.034226199999996
24	28.463394599999997
25	30.9717
26	29.719989
27	30.748505999999995
28	28.728708
29	29.2790022
30	30.150012000000004
31	0.00016860000000000003
