dia	H	G0	costhetaDt	H0	Kt
1	24.253	1412.104	23774.966	33.573	0.722
2	24.260	1412.084	23886.674	33.730	0.719
3	23.151	1412.051	23998.020	33.886	0.683
4	22.914	1412.004	24109.868	34.043	0.673
5	24.799	1411.944	24222.948	34.201	0.725
6	24.694	1411.871	24335.511	34.359	0.719
7	23.787	1411.784	24447.502	34.515	0.689
8	23.179	1411.684	24558.866	34.669	0.669
9	16.954	1411.571	24669.550	34.823	0.487
10	20.770	1411.444	24779.502	34.975	0.594
11	25.953	1411.305	24888.672	35.125	0.739
12	25.375	1411.152	24997.009	35.275	0.719
13	24.390	1410.986	25104.464	35.422	0.689
14	24.869	1410.807	25210.991	35.568	0.699
15	25.107	1410.615	25316.543	35.712	0.703
16	26.096	1410.411	25421.076	35.854	0.728
17	26.141	1410.193	25524.546	35.995	0.726
18	21.762	1409.963	25626.911	36.133	0.602
19	25.799	1409.720	25728.131	36.269	0.711
20	24.282	1409.464	25828.167	36.404	0.667
21	24.639	1409.195	25926.982	36.536	0.674
22	26.047	1408.914	26024.539	36.666	0.710
23	26.335	1408.621	26123.535	36.798	0.716
24	26.803	1408.316	26221.205	36.928	0.726
25	24.960	1407.998	26317.518	37.055	0.674
26	25.344	1407.668	26412.443	37.180	0.682
27	26.211	1407.326	26505.952	37.303	0.703
28	26.077	1406.972	26598.016	37.423	0.697
29	25.741	1406.606	26688.612	37.540	0.686
30	23.958	1406.228	26777.715	37.656	0.636
31	25.403	1405.839	26865.303	37.768	0.673
