#"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
#,Irradiancia,,,,,,,
#Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
#aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
#,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
2019-01-01 00:00:00,0.028,0,0,0,17.85,59.02,0.723,875.2408
2019-01-01 00:10:00,0.182,0,0,0,18.29,59.84,1.385,875.1749
2019-01-01 00:20:00,0,0,0,0,17.92,60.08,0.057,874.8231
2019-01-01 00:30:00,0.066,0,0,0,17.91,61.51,0.003,874.7002
2019-01-01 00:40:00,0.069,0,0,0,17.94,61.41,0.467,874.6029
2019-01-01 00:50:00,0,0,0,0,17.69,61.27,0.438,874.8728
2019-01-01 01:00:00,0.007,0,0,0,17.58,61.85,1.01,874.8152
2019-01-01 01:10:00,0.229,0,0,0,17.62,60.56,0.984,874.9052
2019-01-01 01:20:00,0.244,0,0,0,17.76,62.26,1.065,874.8314
2019-01-01 01:30:00,0.003,0,0,0,17.34,64.61,1.248,874.8318
2019-01-01 01:40:00,0.011,0,0,0,17.03,63.83,1.729,874.8968
2019-01-01 01:50:00,0.251,0,0,0,17.35,62.87,1.633,874.709
2019-01-01 02:00:00,0.061,0,0,0,17.15,64.41,1.888,874.6843
2019-01-01 02:10:00,0.127,0,0,0,16.88,61,2.19,874.709
2019-01-01 02:20:00,0.028,0,0,0,16.6,64.48,1.695,874.7194
2019-01-01 02:30:00,0.066,0,0,0,16.2,68.77,1.065,874.6824
2019-01-01 02:40:00,0.002,0,0,0,15.75,68.67,1.255,874.6703
2019-01-01 02:50:00,0.046,0,0,0,15.59,64.48,1.798,874.5961
2019-01-01 03:00:00,0.389,0,0,0,16.02,59.16,2.031,874.5817
2019-01-01 03:10:00,0.185,0,0,0,16.32,55.69,1.896,874.4674
2019-01-01 03:20:00,0.27,0,0,0,16.74,57.97,1.991,874.4836
2019-01-01 03:30:00,0.08,0,0,0,16.3,57.87,2.021,874.4805
2019-01-01 03:40:00,0.009,0,0,0,15.97,60.97,1.811,874.3732
2019-01-01 03:50:00,0,0,0,0,15.68,60.05,1.062,874.2881
2019-01-01 04:00:00,0.135,0,0,0,15.77,58.21,1.488,874.209
2019-01-01 04:10:00,0.141,0,0,0,15.92,58.15,1.809,874.1697
2019-01-01 04:20:00,0.174,0,0,0,15.88,58.25,2.554,874.2197
2019-01-01 04:30:00,0.06,0,0,0,15.68,60.8,2.679,874.2719
2019-01-01 04:40:00,0,0,0,0,14.95,63.53,1.543,874.4129
2019-01-01 04:50:00,0,0,0,0,14.96,64.62,1.026,874.601
2019-01-01 05:00:00,0.311,0,0,0,15.11,58.59,2.17,874.6093
2019-01-01 05:10:00,0.252,0,0,0,15.68,63.36,2.454,874.5357
2019-01-01 05:20:00,0,0,0,0,14.52,65.44,3.006,874.4781
2019-01-01 05:30:00,0.01,0,0,0,14.48,65.13,2.121,874.4373
2019-01-01 05:40:00,0.101,0,0,0,14.86,64.31,1.633,874.3965
2019-01-01 05:50:00,0,0,0,0,14.4,67.83,1.755,874.3805
2019-01-01 06:00:00,0.118,0,0,0,14.1,68.61,2.45,874.6094
2019-01-01 06:10:00,0.186,0,0,0,14.13,64.28,2.726,874.642
2019-01-01 06:20:00,0.171,0,0,0,14.47,66.53,3.046,874.601
2019-01-01 06:30:00,0.108,0,0,0,14.39,66.43,3.031,874.6337
2019-01-01 06:40:00,0.218,0,0,0,14.67,64.96,2.449,874.7899
2019-01-01 06:50:00,0.123,0,0,0,14.36,62.1,2.279,875.1658
2019-01-01 07:00:00,0.186,0,0,0,14.95,60.43,1.284,875.2963
2019-01-01 07:10:00,0.075,0.045,0,0,14.96,63.16,0.902,875.2751
2019-01-01 07:20:00,0,3.022,2.162,0,14.63,61.32,0.046,875.3355
2019-01-01 07:30:00,51.69,14.1,9.04,0,14.84,60.6,0.958,875.7079
2019-01-01 07:40:00,280.7,41.27,16.2,0,15,59.61,1.275,875.9434
2019-01-01 07:50:00,391.6,70.66,22.2,0,15.19,59.71,0.888,876.0168
2019-01-01 08:00:00,481.4,102.7,27.32,0,15.55,58.28,0.872,876.1475
2019-01-01 08:10:00,551.9,136.4,31.57,0,16.15,57.26,0.081,876.2863
2019-01-01 08:20:00,616.4,173,34.99,0,17.04,53.03,0,876.2963
2019-01-01 08:30:00,669.5,213.6,39.35,0,18.68,47.5,0.304,876.4208
2019-01-01 08:40:00,718.4,255.4,41.68,0,18.37,50.3,0.679,876.4325
2019-01-01 08:50:00,711.8,281,43.39,0,18.7,48.15,1.145,876.7068
2019-01-01 09:00:00,760.6,324.1,45.2,0,19.63,44.51,0.56,876.8854
2019-01-01 09:10:00,807,369,47.58,0,20.98,43.55,0.837,877.0814
2019-01-01 09:20:00,821,404.6,50.54,0,21.04,47.2,1.151,877.1955
2019-01-01 09:30:00,839,438.4,52.05,0,21.57,48.05,1.075,877.1458
2019-01-01 09:40:00,865,477.3,52.52,0,21.39,48.73,2.12,876.9266
2019-01-01 09:50:00,878,509,53.76,0,21.6,46.62,1.743,877.4169
